ButterflySpecies,Year,Day,SpringTemp,SummerTemp
Papilio zelicaon,1992,157,7.91,16.19
Papilio zelicaon,1992,157,7.91,16.19
Papilio zelicaon,1997,213,6.27,15.48
Papilio zelicaon,1998,120,7.79,16.72
Papilio zelicaon,1998,126,7.79,16.72
Ochlodes sylvanoides,1998,126,7.79,16.72
Ochlodes sylvanoides,1998,126,7.79,16.72
Papilio zelicaon,1998,129,7.79,16.72
Papilio zelicaon,1998,133,7.79,16.72
Papilio zelicaon,1998,133,7.79,16.72
Papilio zelicaon,1998,133,7.79,16.72
Ochlodes sylvanoides,1998,160,7.79,16.72
Ochlodes sylvanoides,1998,178,7.79,16.72
Papilio zelicaon,1999,129,5.81,14.86
Papilio zelicaon,1999,152,5.81,14.86
Papilio zelicaon,2000,153,6.46,14.92
Papilio zelicaon,2000,153,6.46,14.92
Papilio zelicaon,2000,172,6.46,14.92
Papilio zelicaon,2000,172,6.46,14.92
Papilio zelicaon,2000,244,6.46,14.92
Papilio zelicaon,2002,173,4.21,15.56
Papilio zelicaon,2002,176,4.21,15.56
Papilio zelicaon,2002,221,4.21,15.56
Papilio zelicaon,2002,221,4.21,15.56
Papilio zelicaon,2002,221,4.21,15.56
Papilio zelicaon,2002,247,4.21,15.56
Papilio zelicaon,2003,153,6.03,16.21
Papilio zelicaon,2003,179,6.03,16.21
Papilio zelicaon,2003,191,6.03,16.21
Papilio zelicaon,2003,191,6.03,16.21
Euchloe ausonides,2005,200,8.03,15.43
Euchloe ausonides,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Glaucopsyche lygdamus,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Euchloe ausonides,2010,168,6.87,15.61
Plebejus icarioides,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio rutulus,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2010,168,6.87,15.61
Papilio zelicaon,2011,181,5.23,14.86
Papilio zelicaon,2011,181,5.23,14.86
Papilio rutulus,2011,181,5.23,14.86
Glaucopsyche lygdamus,2011,181,5.23,14.86
Speyeria cybele,2011,181,5.23,14.86
Papilio zelicaon,2011,181,5.23,14.86
Papilio zelicaon,2011,181,5.23,14.86
Coenonympha tullia,2011,181,5.23,14.86
Coenonympha tullia,2011,181,5.23,14.86
Papilio zelicaon,2011,181,5.23,14.86
Polygonia gracilis,2011,226,5.23,14.86
Plebejus icarioides,2012,170,6.24,15.87
Coenonympha tullia,2012,170,6.24,15.87
Papilio zelicaon,2012,171,6.24,15.87
Papilio zelicaon,2012,171,6.24,15.87
Papilio zelicaon,2012,171,6.24,15.87
Speyeria hydaspe,2012,171,6.24,15.87
Plebejus icarioides,2012,171,6.24,15.87
Ochlodes sylvanoides,2012,171,6.24,15.87
Ochlodes sylvanoides,2012,171,6.24,15.87
Ochlodes sylvanoides,2012,171,6.24,15.87
Speyeria cybele,2012,171,6.24,15.87
Speyeria cybele,2012,171,6.24,15.87
Polygonia gracilis,2012,171,6.24,15.87
Ochlodes sylvanoides,2012,171,6.24,15.87
Papilio zelicaon,2012,171,6.24,15.87
Ochlodes sylvanoides,2012,171,6.24,15.87
Strymon melinus,2012,171,6.24,15.87
Ochlodes sylvanoides,2012,171,6.24,15.87
Papilio rutulus,2013,132,6.52,17
Ochlodes sylvanoides,2013,195,6.52,17
Ochlodes sylvanoides,2013,221,6.52,17
